index,总数,总价,平米单价,小区,所在区,户型,楼层,面积,户型结构,建筑类型,朝向,建筑结构,装修情况,梯户比例,电梯与否,发布年,发布月,发布日
100,170777.0,153.0,17213.0,金茂悦龙山,龙泉驿,3室2厅1厨2卫,高楼层 (共33层),88.89㎡,平层,塔楼,东南,钢混结构,精装,两梯五户,有,2022,6,25.0
193,170777.0,155.0,18521.0,优地B区,武侯,2室1厅1厨1卫,高楼层 (共17层),83.69㎡,平层,板楼,东南,框架结构,精装,两梯六户,有,2022,6,14.0
307,170783.0,123.0,13649.0,合能四季城一期,郫都,3室2厅1厨1卫,低楼层 (共29层),90.12㎡,平层,塔楼,西南,钢混结构,简装,三梯六户,有,2022,6,20.0
324,170783.0,235.0,19559.0,金牛万达D组团,金牛,3室1厅1厨2卫,高楼层 (共32层),120.15㎡,平层,塔楼,北,钢混结构,精装,三梯八户,有,2022,6,25.0
403,170780.0,189.0,24473.0,绿地468公馆三期,锦江,2室2厅1厨1卫,高楼层 (共32层),77.23㎡,平层,塔楼,西南,钢混结构,简装,两梯六户,有,2022,6,18.0
445,170781.0,171.0,18209.0,华润国际社区,龙泉驿,4室2厅1厨1卫,低楼层 (共41层),93.91㎡,平层,板塔结合,东北,钢混结构,精装,三梯八户,有,2022,6,26.0
647,170785.0,142.0,17156.0,蓝润棠湖春天,双流,3室2厅1厨1卫,低楼层 (共16层),82.77㎡,平层,板楼,东,钢混结构,简装,两梯六户,有,2022,6,8.0
650,170785.0,142.0,25795.0,川大新南村,武侯,2室1厅1厨1卫,中楼层 (共7层),55.05㎡,平层,暂无数据,南 西南,未知结构,精装,一梯两户,无,2022,6,6.0
1056,170791.0,48.0,11671.0,兴元绿洲一期,金牛,1室1厅1厨1卫,中楼层 (共22层),41.13㎡,平层,塔楼,西南,框架结构,精装,两梯八户,有,2022,6,22.0
1426,170789.0,94.0,11799.0,绿地国际花都三期,郫都,2室1厅1厨1卫,高楼层 (共32层),79.67㎡,平层,塔楼,东北,钢混结构,精装,两梯六户,有,2022,6,11.0
1638,170793.0,125.0,13590.0,和信孔雀天成,温江,2室2厅1厨1卫,低楼层 (共33层),91.98㎡,平层,板塔结合,东南 南,钢混结构,其他,三梯七户,有,2022,6,23.0
1650,170792.0,102.0,15069.0,合能珍宝琥珀,温江,2室2厅1厨1卫,高楼层 (共34层),67.69㎡,平层,板塔结合,东南,钢混结构,精装,两梯八户,有,2022,6,23.0
1939,170791.0,170.0,18495.0,保利紫薇花语,龙泉驿,3室2厅1厨2卫,高楼层 (共34层),91.92㎡,平层,板塔结合,东南,钢混结构,精装,两梯五户,有,2022,5,29.0
2106,170794.0,182.0,14531.0,府河音乐花园,天府新区,3室2厅1厨2卫,中楼层 (共6层),125.25㎡,错层,板塔结合,南,混合结构,简装,一梯两户,无,2022,4,9.0
2137,170792.0,157.0,20212.0,万科第五城,双流,3室2厅1厨1卫,低楼层 (共27层),77.68㎡,平层,塔楼,南,钢混结构,精装,两梯六户,有,2022,4,2.0
2142,170792.0,87.0,16277.0,高升瑞景,武侯,2室1厅1厨1卫,中楼层 (共20层),53.45㎡,平层,板楼,西南,框架结构,简装,三梯十九户,有,2022,5,8.0
2147,170792.0,350.0,35664.0,龙湖九里晴川,高新,3室2厅1厨2卫,高楼层 (共23层),98.14㎡,平层,板塔结合,东,钢混结构,精装,两梯四户,有,2022,5,31.0
2176,170788.0,276.0,23392.0,世纪金沙,青羊,3室2厅1厨2卫,高楼层 (共24层),117.99㎡,平层,塔楼,东北,钢混结构,简装,两梯四户,有,2022,5,18.0
2359,170786.0,139.0,17197.0,美洲花园棕榈湾,高新,2室1厅1厨1卫,低楼层 (共22层),80.83㎡,平层,板楼,东南,钢混结构,精装,两梯七户,有,2022,4,2.0
