index,总数,总价,平米单价,小区,所在区,户型,楼层,面积,户型结构,建筑类型,朝向,建筑结构,装修情况,梯户比例,电梯与否,发布年,发布月,发布日
0,170777,62.0,5865,和谐小区(温江),温江,3室2厅1厨1卫,中楼层 (共6层),105.72㎡,平层,板楼,东南,砖混结构,简装,一梯三户,无,2019,4,11
1,170777,123.0,13730,合能珍宝琥珀三期,温江,3室1厅1厨2卫,低楼层 (共33层),89.59㎡,平层,塔楼,西,框架结构,毛坯,两梯六户,有,2022,6,27
2,170777,128.0,9261,中鹏花园A区,青羊,5室1厅1厨2卫,低楼层 (共7层),138.22㎡,平层,板楼,南,砖混结构,简装,一梯两户,无,2022,6,27
3,170777,160.0,27211,天涯石南街17号,锦江,2室1厅1厨1卫,中楼层 (共6层),58.8㎡,平层,板楼,东南,混合结构,简装,一梯两户,暂无数据,2022,6,27
4,170777,125.0,10340,中央花园二期,武侯,3室2厅1厨2卫,低楼层 (共7层),120.9㎡,暂无数据,板塔结合,南,混合结构,简装,一梯四户,无,2022,6,29
5,170777,183.0,20500,蜀光新城二期,锦江,2室2厅1厨1卫,高楼层 (共18层),89.27㎡,平层,板塔结合,西南,砖混结构,精装,两梯五户,有,2022,6,26
6,170777,215.0,15445,郦景东城,成华,4室2厅1厨2卫,高楼层 (共6层),139.21㎡,跃层,板楼,南,钢混结构,精装,一梯两户,无,2022,6,13
7,170777,365.0,31205,新界三期,武侯,3室1厅1厨2卫,高楼层 (共8层),116.97㎡,平层,板楼,东南,钢混结构,毛坯,一梯两户,有,2022,6,22
8,170777,225.0,20614,远大林语城南庭,双流,3室2厅1厨2卫,高楼层 (共12层),109.15㎡,平层,板塔结合,南,钢混结构,精装,两梯五户,有,2022,6,26
9,170777,355.0,32536,融创观玺台花园,青羊,3室2厅1厨2卫,高楼层 (共22层),109.11㎡,平层,板楼,南,钢混结构,毛坯,两梯六户,有,2022,6,28
10,170777,145.0,16394,首创万卷山,龙泉驿,3室1厅1厨1卫,中楼层 (共34层),88.45㎡,平层,板塔结合,东南,钢混结构,简装,三梯六户,有,2022,6,26
11,170777,162.0,13497,和贵久居福,双流,3室2厅1厨2卫,低楼层 (共18层),120.03㎡,平层,塔楼,北,钢混结构,简装,两梯四户,有,2022,6,29
12,170777,132.0,17838,远洋朗郡,金牛,3室1厅1厨1卫,高楼层 (共17层),74㎡,平层,板楼,西北,钢混结构,精装,两梯四户,有,2022,6,29
13,170777,223.0,25232,恒大翡翠华庭,青羊,3室1厅1厨1卫,低楼层 (共22层),88.38㎡,平层,塔楼,南 北,钢混结构,精装,两梯四户,有,2022,6,28
14,170777,147.0,15894,恒大绿洲,龙泉驿,3室1厅1厨1卫,中楼层 (共32层),92.49㎡,平层,平房,西北,钢混结构,精装,两梯四户,有,2022,6,26
15,170777,208.0,24830,合能枫丹铂麓一期,天府新区,3室2厅1厨2卫,中楼层 (共26层),83.77㎡,平层,板塔结合,东,钢混结构,精装,两梯六户,有,2022,6,25
16,170777,328.0,28584,时代晶科名苑,高新,3室2厅1厨1卫,中楼层 (共20层),114.75㎡,平层,板塔结合,北,钢混结构,简装,两梯六户,有,2022,6,26
17,170777,120.0,13637,怡景城市花苑,郫都,3室1厅1厨2卫,高楼层 (共26层),88㎡,跃层,塔楼,西南,框架结构,精装,两梯九户,有,2022,6,19
18,170777,117.0,14038,暑袜中街61号,锦江,3室1厅1厨1卫,中楼层 (共6层),83.35㎡,平层,暂无数据,东南,未知结构,简装,一梯一户,暂无数据,2022,6,27
19,170777,148.0,16673,蓝光圣菲town城,双流,3室2厅1厨1卫,低楼层 (共23层),88.77㎡,平层,板塔结合,南,钢混结构,精装,两梯七户,有,2022,7,1
20,170777,165.0,18239,美茵河谷,温江,3室1厅1厨1卫,低楼层 (共6层),90.47㎡,跃层,板塔结合,东北,钢混结构,精装,一梯三户,有,2022,6,26
21,170777,206.0,14754,珠江御景湾,温江,4室1厅1厨2卫,中楼层 (共18层),139.63㎡,平层,板塔结合,东北,钢混结构,简装,两梯三户,有,2022,6,28
22,170777,218.0,24325,万科金色领域,青羊,3室1厅1厨2卫,低楼层 (共24层),89.62㎡,平层,板塔结合,北 南,钢混结构,精装,两梯四户,有,2022,6,29
23,170777,202.0,22309,美洲花园棕榈湾,高新,3室2厅1厨2卫,中楼层 (共23层),90.55㎡,平层,板楼,北,框架结构,精装,两梯四户,有,2022,6,10
24,170777,152.0,15912,保利爱尚里,新都,3室1厅1厨2卫,中楼层 (共32层),95.53㎡,平层,板塔结合,西,钢混结构,精装,两梯六户,有,2022,6,12
25,170777,95.0,11001,源上湾国际社区千叶郡,新都,3室2厅1厨1卫,高楼层 (共29层),86.36㎡,平层,板塔结合,南,钢混结构,简装,两梯五户,有,2022,6,14
26,170777,230.0,15436,紫东苑,锦江,3室2厅1厨2卫,中楼层 (共25层),149.01㎡,平层,板塔结合,西北,砖混结构,简装,两梯四户,有,2022,6,4
27,170777,382.0,29315,龙湖三千庭,龙泉驿,4室2厅1厨2卫,低楼层 (共11层),130.31㎡,平层,板塔结合,南,钢混结构,精装,一梯两户,有,2022,6,3
28,170777,66.0,10181,劲力蓝色理想,龙泉驿,2室1厅1厨1卫,中楼层 (共26层),64.83㎡,平层,板塔结合,东南,钢混结构,精装,两梯七户,有,2022,6,25
29,170777,128.0,13800,恒大城三期,温江,3室1厅1厨1卫,高楼层 (共30层),92.76㎡,平层,板塔结合,西南,钢混结构,精装,两梯四户,有,2022,6,25
30,170777,136.5,15911,汇融广场,新都,3室1厅1厨1卫,中楼层 (共38层),85.79㎡,平层,板塔结合,南,钢混结构,其他,三梯八户,有,2022,6,25
31,170777,105.0,8742,天邑宏御花园御苑,郫都,3室2厅1厨2卫,低楼层 (共20层),120.12㎡,平层,塔楼,东南,钢混结构,简装,两梯四户,有,2022,6,30
32,170777,380.0,25344,鹭岛国际三期,武侯,3室2厅1厨2卫,高楼层 (共15层),149.94㎡,平层,板塔结合,东 西,框架结构,精装,两梯四户,有,2022,6,28
33,170777,113.0,20043,磨房街40号,锦江,2室1厅1厨1卫,低楼层 (共6层),56.38㎡,平层,板楼,南,砖混结构,简装,一梯两户,无,2022,6,29
34,170777,110.0,12479,国栋南园贰号,双流,3室2厅1厨1卫,高楼层 (共15层),88.15㎡,平层,塔楼,东,框架结构,毛坯,两梯六户,有,2022,6,26
35,170777,140.0,14143,温哥华花园六期,双流,3室1厅1厨1卫,中楼层 (共16层),98.99㎡,平层,塔楼,南,框架结构,简装,两梯六户,有,2022,6,28
36,170777,165.0,17769,金茂悦龙山,龙泉驿,3室2厅1厨2卫,低楼层 (共33层),92.86㎡,平层,塔楼,西南,钢混结构,精装,三梯六户,有,2022,6,30
37,170777,280.0,24629,东御佲家,锦江,3室2厅1厨2卫,中楼层 (共30层),113.69㎡,平层,塔楼,东北,钢混结构,毛坯,两梯四户,有,2022,6,26
38,170777,122.5,12843,招商依云上城,龙泉驿,3室1厅1厨2卫,高楼层 (共41层),95.39㎡,平层,板塔结合,南,钢混结构,精装,三梯六户,有,2022,6,25
39,170777,158.0,15891,8号公馆,温江,3室2厅1厨1卫,高楼层 (共31层),99.43㎡,平层,板塔结合,东南,钢混结构,精装,三梯六户,有,2022,6,27
40,170777,165.0,18778,新城吾悦广场,龙泉驿,3室2厅1厨2卫,高楼层 (共34层),87.87㎡,平层,板塔结合,东 北,钢混结构,精装,两梯六户,有,2022,6,28
41,170777,318.0,32592,城市春天,高新,3室1厅1厨2卫,高楼层 (共31层),97.57㎡,平层,板塔结合,南,钢混结构,精装,两梯四户,有,2022,6,26
42,170777,210.0,17049,世茂城一期,龙泉驿,4室2厅1厨2卫,高楼层 (共24层),123.18㎡,平层,板楼,东北,钢混结构,毛坯,两梯四户,有,2022,6,28
43,170777,143.9,10883,置信逸都C区,郫都,4室1厅1厨2卫,高楼层 (共33层),132.23㎡,平层,板塔结合,西北,框架结构,精装,两梯六户,有,2022,6,26
44,170777,83.0,5979,新桂苑,新都,3室2厅1厨2卫,高楼层 (共6层),138.82㎡,平层,暂无数据,南,未知结构,精装,一梯两户,暂无数据,2022,6,27
45,170777,125.0,10024,晓初公寓(高新),高新,3室2厅1厨2卫,低楼层 (共7层),124.71㎡,平层,板楼,北,砖混结构,简装,一梯两户,无,2022,6,19
46,170777,355.0,23730,东方希望天祥广场,高新,3室2厅1厨2卫,低楼层 (共47层),149.6㎡,平层,板楼,西,钢混结构,简装,三梯三户,有,2022,6,25
47,170777,330.0,25867,富丽碧蔓汀,金牛,4室1厅1厨2卫,高楼层 (共26层),127.58㎡,跃层,板塔结合,南,钢混结构,精装,两梯六户,有,2022,6,24
48,170777,130.0,17521,电建地产美立方,成华,3室1厅1厨1卫,中楼层 (共34层),74.2㎡,平层,塔楼,西,钢混结构,简装,三梯八户,有,2022,6,27
49,170777,233.0,26593,保利香槟光华,青羊,3室1厅1厨2卫,中楼层 (共18层),87.62㎡,平层,板楼,西,钢混结构,精装,两梯六户,有,2022,6,29
50,170777,138.0,13653,温哥华花园六期,双流,3室2厅1厨2卫,中楼层 (共16层),101.08㎡,平层,塔楼,南,框架结构,简装,两梯六户,有,2022,6,28
51,170777,182.0,24427,南湖逸家二期,双流,3室2厅1厨1卫,高楼层 (共33层),74.51㎡,平层,板塔结合,北,钢混结构,精装,两梯六户,有,2022,6,26
52,170777,143.0,16104,蓝光圣菲town城,双流,3室2厅1厨1卫,中楼层 (共23层),88.8㎡,平层,板塔结合,南,钢混结构,简装,两梯七户,有,2022,6,30
53,170777,56.0,6545,企业局家属院,郫都,3室2厅1厨1卫,低楼层 (共5层),85.57㎡,平层,塔楼,西南,钢混结构,简装,一梯两户,暂无数据,2022,6,25
54,170777,455.0,34667,建发金沙里,青羊,3室2厅1厨2卫,高楼层 (共31层),131.25㎡,平层,板楼,东南,钢混结构,精装,两梯四户,有,2022,6,26
55,170777,167.0,18905,世茂城二期,龙泉驿,3室1厅1厨1卫,高楼层 (共33层),88.34㎡,平层,板塔结合,西,钢混结构,精装,三梯八户,有,2022,6,26
56,170777,66.0,7655,西城雅居,郫都,2室2厅1厨1卫,高楼层 (共17层),86.22㎡,平层,板楼,西南,钢混结构,简装,两梯十五户,有,2022,6,27
57,170777,175.0,18458,蓝润V客尚东二期,成华,4室1厅1厨2卫,高楼层 (共34层),94.81㎡,平层,塔楼,西,框架结构,毛坯,两梯八户,有,2022,6,29
58,170777,95.0,7047,向阳花园A区,温江,3室2厅1厨2卫,低楼层 (共6层),134.81㎡,错层,暂无数据,东南,未知结构,毛坯,一梯两户,暂无数据,2022,6,28
59,170777,160.0,21086,维港,武侯,2室1厅1厨1卫,中楼层 (共18层),75.88㎡,平层,塔楼,西南,框架结构,精装,三梯十四户,有,2022,6,27
60,170777,138.0,19017,蓝光coco国际二期,成华,3室1厅1厨1卫,中楼层 (共33层),72.57㎡,平层,板塔结合,北,钢混结构,简装,三梯八户,有,2022,6,30
61,170777,240.0,30434,中铁瑞景颐城,青羊,3室1厅1厨1卫,高楼层 (共21层),78.86㎡,平层,板楼,东,钢混结构,精装,三梯八户,有,2022,6,28
62,170777,170.0,12326,凤凰林溪郡,温江,4室1厅1厨1卫,低楼层 (共6层),137.92㎡,平层,板塔结合,南,钢混结构,简装,一梯两户,有,2022,7,1
63,170777,135.0,17237,华润国际社区,龙泉驿,3室1厅1厨1卫,低楼层 (共39层),78.32㎡,平层,板塔结合,东南,钢混结构,精装,三梯八户,有,2022,6,30
64,170777,196.0,22778,致瑞雅苑B区,锦江,3室1厅1厨1卫,中楼层 (共39层),86.05㎡,平层,板塔结合,东南,钢混结构,精装,三梯六户,有,2022,6,27
65,170777,102.0,14698,成科路9号院,武侯,3室1厅1厨1卫,低楼层 (共7层),69.4㎡,平层,板楼,南 北,砖混结构,精装,一梯两户,无,2022,7,1
66,170777,150.0,15725,宝源驷马城,成华,3室1厅1厨1卫,高楼层 (共18层),95.39㎡,平层,塔楼,北,框架结构,精装,两梯三户,有,2022,6,23
67,170777,200.0,24334,中国水电泛悦国际,武侯,3室2厅1厨1卫,高楼层 (共34层),82.19㎡,平层,板塔结合,北,钢混结构,简装,两梯六户,有,2022,6,30
68,170777,168.0,16071,保利城四期中央郡,新都,3室2厅1厨2卫,低楼层 (共25层),104.54㎡,平层,塔楼,西,钢混结构,精装,两梯五户,有,2022,6,28
69,170777,105.0,14384,中铁丽景书香,温江,3室2厅1厨1卫,低楼层 (共33层),73㎡,平层,板塔结合,东南,框架结构,精装,两梯六户,有,2022,6,27
70,170777,120.0,10002,博雅新城D区,新都,3室1厅1厨2卫,低楼层 (共6层),119.98㎡,平层,板楼,西南,混合结构,精装,一梯两户,无,2022,6,28
71,170777,125.0,15724,驿都城,龙泉驿,3室2厅1厨1卫,中楼层 (共32层),79.5㎡,平层,塔楼,东北,钢混结构,精装,两梯六户,有,2022,6,26
72,170777,110.0,12479,国栋南园贰号,双流,3室2厅1厨1卫,高楼层 (共15层),88.15㎡,平层,塔楼,东,框架结构,毛坯,两梯六户,有,2022,6,26
73,170777,158.0,13937,蓝光富丽花城,成华,3室1厅1厨2卫,高楼层 (共18层),113.37㎡,平层,板塔结合,南,钢混结构,毛坯,两梯六户,有,2022,6,29
74,170777,118.0,14765,金科天宸,温江,3室1厅1厨1卫,低楼层 (共33层),79.92㎡,平层,塔楼,南 北,钢混结构,精装,两梯六户,有,2022,6,26
75,170777,410.0,27229,华侨城东岸一期,金牛,3室2厅1厨2卫,中楼层 (共4层),150.58㎡,平层,板塔结合,东北,钢混结构,精装,一梯两户,有,2022,6,28
76,170777,130.0,11605,锦翠北苑,武侯,4室2厅1厨2卫,高楼层 (共6层),112.03㎡,跃层,板楼,东,钢混结构,简装,一梯四户,无,2022,6,27
77,170777,58.0,10358,水碾河路6号,锦江,2室1厅1厨1卫,中楼层 (共6层),56㎡,平层,板楼,东南,砖混结构,精装,一梯两户,无,2022,6,25
78,170777,112.0,12236,汉嘉国际,新都,3室1厅1厨1卫,中楼层 (共30层),91.54㎡,平层,板塔结合,北,钢混结构,简装,两梯五户,有,2022,6,18
79,170777,220.0,25759,中筑西府兰庭,武侯,3室1厅1厨1卫,中楼层 (共17层),85.41㎡,平层,板塔结合,西北,框架结构,精装,两梯五户,有,2022,6,25
80,170777,197.0,20345,蓝光锦绣城,成华,3室1厅1厨2卫,高楼层 (共33层),96.83㎡,平层,板塔结合,南 西南,钢混结构,简装,三梯六户,有,2022,6,23
81,170777,160.0,21567,鑫苑名家二期,锦江,3室2厅1厨1卫,高楼层 (共40层),74.19㎡,平层,板塔结合,南,钢混结构,简装,三梯八户,有,2022,6,22
82,170777,113.0,14993,洲际亚洲湾A区,温江,2室2厅1厨1卫,中楼层 (共32层),75.37㎡,平层,板塔结合,东,钢混结构,精装,两梯六户,有,2022,6,26
83,170777,148.0,18792,富丽东方,成华,2室1厅1厨1卫,中楼层 (共33层),78.76㎡,平层,塔楼,东南,框架结构,精装,三梯六户,有,2022,6,27
84,170777,275.0,30675,卓锦城六期,锦江,3室1厅1厨1卫,中楼层 (共31层),89.65㎡,平层,板塔结合,东南,钢混结构,精装,两梯六户,有,2022,6,18
85,170777,175.0,21481,沙河壹号一期,锦江,3室2厅1厨1卫,高楼层 (共34层),81.47㎡,平层,板塔结合,北,钢混结构,精装,两梯六户,有,2022,6,25
