index,总价,平米单价,小区,所在区,户型,楼层,面积,户型结构,建筑类型,朝向,建筑结构,装修情况,梯户比例,电梯与否,发布年,发布月,发布日
5,159.0,11541,恒大银海湖,崇州,4室3厅1厨3卫,高楼层 (共6层),137.78㎡,暂无数据,板楼,南,砖混结构,其他,一梯一户,暂无数据,2022,7,8
18,32.8,6979,海上花园三期,简阳,1室1厅1厨1卫,高楼层 (共7层),47㎡,平层,塔楼,东,混合结构,其他,一梯八户,无,2022,7,8
75,116.0,11877,花样年龙年中心三期,郫都,3室2厅1厨2卫,高楼层 (共26层),97.67㎡,暂无数据,板塔结合,东南,钢混结构,精装,两梯六户,有,2022,7,8
64,120.0,14286,海骏达蜀都1号三期,郫都,2室2厅1厨1卫,中楼层 (共32层),84㎡,暂无数据,塔楼,西南,钢混结构,其他,两梯六户,有,2022,7,8
102,430.0,33037,南城都汇汇翠园一期,高新,3室2厅1厨2卫,中楼层 (共16层),130.16㎡,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,2022,7,8
20,83.0,8074,瀚城新天地,青白江,3室1厅1厨2卫,低楼层 (共33层),102.8㎡,平层,板塔结合,东北,钢混结构,毛坯,两梯四户,有,2022,7,8
111,72.0,6207,恒大御景半岛,金堂,3室2厅1厨2卫,高楼层 (共33层),116㎡,暂无数据,板塔结合,北,钢混结构,其他,两梯四户,有,2022,7,8
0,247.0,17035,优品时代三期,双流,4室2厅1厨1卫,高楼层 (共15层),145㎡,暂无数据,平房,南,框架结构,其他,两梯四户,有,2022,7,8
107,388.0,31971,宏达世纪锦城,天府新区,3室1厅1厨2卫,低楼层 (共32层),121.36㎡,平层,板塔结合,南,钢混结构,其他,三梯六户,有,2022,7,8
15,135.0,13468,西宸原著御景,金牛,3室1厅1厨1卫,高楼层 (共40层),100.24㎡,暂无数据,板塔结合,东南,钢混结构,精装,四梯八户,有,2022,7,8
58,86.0,10917,东韵雅园,龙泉驿,2室2厅1厨1卫,中楼层 (共33层),78.78㎡,平层,塔楼,南,钢混结构,其他,两梯六户,有,2022,7,8
